,Food group,Group, Baseline,Value,CF,DALY
129,Veg_other_coarse,5.0,55.937169704039,33.8,0.5,0.0
130,Veg_other_fine,5.0,55.6228442253019,46.2,0.5,0.0
131,Veg_redorange_coarse,5.0,35.6293156621765,25.3,0.5,0.0
132,Veg_redorange_fine,5.0,58.0208837176865,8.6,0.5,0.0
133,Meat_pork_offal,6.0,11.4006798762317,0.0,0.5,0.0
134,Meat_pork_processed,6.0,27.5313752689261,0.0,0.5,0.0
135,Meat_pork_raw,6.0,49.2471426639361,0.0,0.5,0.0
136,Meat_ruminant,6.0,50.515039627682,8.3,0.5,0.0
137,Nuts,7.0,6.05705976188517,0.5,0.5,0.0
138,Seeds,7.0,0.441603534023337,1.4,0.5,0.0
139,Legumes,8.0,3.06,0.0,0.5,0.0
140,Alcohol,,241.442485855727,0.0,0.5,0.0
141,Coffee_tea_cocoa,,765.994878325908,51.3,0.5,0.0
142,Egg,,24.9672535305872,0.0,0.5,0.0
143,Fat_animal,,12.2472415498424,36.9,0.5,0.0
144,Fat_plant,,28.0416328686588,0.5,0.5,0.0
145,Meat_poultry,,29.0020243924439,208.2,0.5,0.0
146,Replacer_meat_dairy,,1.20017322435697,1.2,0.5,0.0
147,Soda,,190.083267280989,0.0,0.5,0.0
148,Spices_miscellaneous,,21.8212718851534,0.0,0.5,0.0
149,Water,,1221.01509371654,1003.6,0.5,0.0
150,Bread_rye,1.0,64.3214138169407,107.1,0.0,0.25
151,Bread_wheat_coarse,1.0,34.3722328092571,41.6,0.0,0.25
152,Bread_wheat_fine,1.0,51.3582512086115,61.1,0.0,0.25
153,Breakfastcereals,1.0,6.40876221981927,6.8,0.0,0.25
154,Discretionary_foods,1.0,57.8180503622414,46.7,0.0,0.25
155,Flour_kernels,1.0,24.802455439947,32.2,0.0,0.25
156,Oats,1.0,14.5261640762295,18.0,0.0,0.25
157,Pasta,1.0,8.11542000546066,8.8,0.0,0.25
158,Rice,1.0,6.54718536425384,6.8,0.0,0.25
159,Cheese_fresh,2.0,6.52183371875592,6.3,0.0,0.25
160,Cheese_other,2.0,38.6973569484548,10.9,0.0,0.25
161,Dairy_fermented,2.0,30.6551698946953,30.4,0.0,0.25
162,Dairy_other,2.0,16.67,12.4,0.0,0.25
163,Milk_highfat,2.0,110.01,105.7,0.0,0.25
164,Milk_lowfat,2.0,162.81288340884,182.4,0.0,0.25
165,Fish_fatty,3.0,16.7881573230695,21.7,0.0,0.25
166,Fish_lean_highclimate,3.0,9.05882738179107,9.9,0.0,0.25
167,Fish_lean_lowmediumclimate,3.0,9.99451177443916,12.2,0.0,0.25
168,Fruit_berry,4.0,15.2527109490058,16.1,0.0,0.25
169,Fruit_citrus,4.0,19.3344139165275,20.3,0.0,0.25
170,Fruit_dried,4.0,3.20122273516868,3.3,0.0,0.25
171,Fruit_juice,4.0,59.2189094830217,60.8,0.0,0.25
172,Fruit_pome,4.0,66.9856413042249,83.3,0.0,0.25
173,Fruit_stone,4.0,15.219228949945,15.8,0.0,0.25
174,Fruit_tropical,4.0,63.6021325491428,73.3,0.0,0.25
175,Potatoes,,85.4825248197403,7.6,0.0,0.25
176,Veg_darkgreen,5.0,7.30254950863854,9.5,0.0,0.25
177,Veg_greenpeas,5.0,8.94152558223746,4.3,0.0,0.25
